61|,60|61,441
93|,83|93,538
93|,94|93,521
93|,3|93,540
93|,92|93,511
71|,72|71,544
71|,81|71,719
71|,61|71,442
71|,70|71,445
82|,83|82,528
82|,72|82,537
82|,81|82,539
82|,92|82,520
94|,84|94,481
94|,93|94,512
94|,4|94,541
94|,95|94,481
81|,82|81,571
81|,71|81,429
81|,91|81,680
81|,80|81,426
92|,82|92,527
92|,93|92,543
92|,91|92,462
92|,2|92,521
80|,70|80,473
80|,81|80,458
80|,89|80,423
80|,90|80,460
60|,70|60,472
60|,69|60,479
60|,61|60,441
60|,50|60,477
91|,81|91,394
91|,92|91,528
91|,1|91,706
91|,90|91,405
1|,91|1,439
1|,11|1,707
1|,2|1,558
1|,0|1,452
50|,60|50,458
50|,59|50,514
50|,51|50,438
50|,40|50,501
49|,59|49,548
49|,40|49,481
49|,48|49,520
49|,39|49,479
32|,42|32,515
32|,31|32,544
32|,33|32,510
32|,22|32,583
41|,42|41,565
41|,31|41,412
41|,51|41,773
41|,40|41,407
40|,41|40,455
40|,50|40,482
40|,30|40,452
40|,49|40,466
31|,32|31,563
31|,41|31,754
31|,30|31,404
31|,21|31,460
59|,50|59,510
59|,49|59,515
59|,58|59,544
59|,69|59,476
23|,33|23,533
23|,24|23,517
23|,22|23,491
23|,13|23,504
21|,22|21,586
21|,11|21,452
21|,20|21,439
21|,31|21,780
12|,22|12,560
12|,13|12,494
12|,2|12,544
12|,11|12,542
30|,31|30,453
30|,40|30,454
30|,39|30,460
30|,20|30,452
13|,23|13,480
13|,14|13,525
13|,3|13,493
13|,12|13,480
25|,35|25,490
25|,24|25,432
25|,26|25,470
25|,15|25,477
14|,24|14,483
14|,15|14,486
14|,13|14,502
14|,4|14,470
26|,36|26,496
26|,25|26,450
26|,16|26,450
26|,27|26,434
15|,25|15,469
15|,14|15,465
15|,5|15,501
15|,16|15,471
48|,47|48,460
48|,38|48,488
48|,49|48,511
48|,58|48,568
27|,26|27,433
27|,37|27,443
27|,17|27,440
27|,28|27,435
16|,26|16,451
16|,15|16,465
16|,17|16,466
16|,6|16,453
17|,16|17,435
17|,27|17,428
17|,18|17,450
17|,7|17,451
37|,27|37,464
37|,47|37,447
37|,36|37,422
37|,38|37,502
39|,38|39,499
39|,49|39,525
39|,29|39,468
39|,30|39,485
28|,38|28,530
28|,27|28,422
28|,18|28,434
28|,29|28,456
29|,28|29,440
29|,39|29,484
29|,19|29,420
29|,20|29,452
18|,28|18,500
18|,17|18,413
18|,8|18,439
18|,19|18,486
7|,6|7,452
7|,97|7,453
7|,17|7,434
7|,8|7,443
38|,48|38,537
38|,39|38,551
38|,28|38,463
38|,37|38,469
20|,30|20,484
20|,29|20,422
20|,21|20,481
20|,10|20,439
8|,18|8,509
8|,98|8,480
8|,7|8,437
8|,9|8,478
19|,18|19,438
19|,29|19,456
19|,9|19,449
19|,10|19,485
99|,89|99,494
99|,98|99,480
99|,9|99,461
99|,90|99,510
3|,13|3,478
3|,4|3,516
3|,2|3,525
3|,93|3,514
22|,32|22,547
